timestamp,open,high,low,close,volume
12/27/2017,64.32,64.59,64.18,64.52,2378687
12/26/2017,64.49,64.94,64.2,64.3,4203624
12/22/2017,64.31,64.98,64.3,64.73,4386678
12/21/2017,64.75,64.9604,64.34,64.39,5349137
12/20/2017,64.56,65.17,64.33,64.6,6919901
12/19/2017,65.11,65.48,64.43,64.5,6906151
12/18/2017,64.93,65.46,64.8,65.38,7092422
12/15/2017,65.33,65.42,64.5,64.76,14158271
12/14/2017,64.86,65.17,64.545,64.7,7012732
12/13/2017,64.98,65.425,64.83,64.9,6431073
12/12/2017,64.88,65.11,64.55,64.86,5559918
12/11/2017,64.06,65.2631,64,65.18,11846177
12/8/2017,65.6,65.6,63.88,64.24,9170240
12/7/2017,65.21,65.55,64.77,65.23,6068240
12/6/2017,64.64,65.68,64.36,64.98,6907606
12/5/2017,64.85,65.03,64.4,64.69,9492637
12/4/2017,65.6,65.7,63.8,64.56,17057274
12/1/2017,65.2,66.12,64.6,65.49,15849652
11/30/2017,66.51,67.1,65.72,66.34,15486356
11/29/2017,68.1,68.2,66.03,66.52,16971554
11/28/2017,67.59,68.41,67.22,68.38,12641308
11/27/2017,68.6,68.92,68.04,68.14,20112979
11/24/2017,68.51,69.28,68.45,68.91,9233010
11/22/2017,66.37,68.26,66.24,68.13,15165652
11/21/2017,65.35,66.93,65.27,66.67,11062010
11/20/2017,66.18,66.85,65.95,66.47,9677801
11/17/2017,66.37,66.95,66,66.72,12134512
11/16/2017,65.77,66.54,65.43,66.11,12142331
11/15/2017,65.55,66.4838,65.24,65.61,10531408
11/14/2017,66.16,66.8,65.55,66,13970519
11/13/2017,64.96,66.82,64.75,66.49,24327595
11/10/2017,64.36,65.1,63.92,64.57,9597929
11/9/2017,64.91,65.33,63.93,64.6,15600914
11/8/2017,64.21,65.79,64.21,65.49,26515424
11/7/2017,62.52,64.16,62.45,64.1,23249338
11/6/2017,64.54,65.33,62.15,62.52,58620899
11/3/2017,54.76,64.99,54.21,61.81,78515925
11/2/2017,53.6,55.68,53.6,54.84,17115009
11/1/2017,51.47,53.49,50.51,53.46,14923803
